tx_tot,day,ny_tot,tx_%_pos,ny_%_pos
1,304,54,100.0,11.11111111111111
1,305,98,100.0,22.448979591836736
5,306,125,100.0,26.400000000000002
8,307,168,100.0,45.23809523809524
8,308,197,100.0,53.299492385786806
12,309,234,100.0,60.68376068376068
13,310,265,100.0,65.28301886792453
21,311,308,100.0,70.12987012987013
23,312,308,100.0,70.12987012987013
39,313,3200,100.0,13.15625
51,314,3303,100.0,15.864365728125945
56,315,5272,100.0,13.827769347496208
57,316,5493,100.0,17.294738758419808
1268,317,7206,5.047318611987381,23.591451568137664
1907,318,14597,4.352385946512848,16.31842159347811
2355,319,22284,6.072186836518047,18.632202477113623
5277,320,32427,3.6763312488156146,21.901501834890677
6522,321,45437,4.661146887457835,22.79199771111649
8756,322,61401,3.8145271813613526,24.703180729955537
10055,323,78289,3.5007458975634016,26.66402687478445
11167,324,91270,3.671532193068864,28.11986413936671
13494,325,103479,7.218022824959242,29.77512345500053
21424,326,122104,6.516056758775206,30.513332896547208
23666,327,145753,7.314290543395588,30.623726441308243
25260,328,155934,8.12351543942993,33.55137429938308
25760,329,172360,9.906832298136646,34.52831283360408
35880,330,186468,8.018394648829432,35.66134671900809
42992,331,205186,7.596762188314105,36.93965475227355
47857,401,220880,8.351965229746956,37.89931184353495
50679,402,238965,9.212888967817044,38.65879940577072
55764,403,260520,9.558137866724051,39.483724857976355
63751,404,283621,9.584163385672381,40.090120266129794
70938,405,302280,9.602751698666442,40.370186581976974
85357,406,320811,8.52419836685919,40.737069489512514
88649,407,340058,9.319902085753927,40.835092837104256
96258,408,365153,9.716594984312993,40.89135239201102
106134,409,391549,9.638758550511618,40.847250280296976
115718,410,417885,10.08572564337441,40.803570360266576
120533,411,440980,10.421212448043274,40.9220372806023
124533,412,461601,10.82765210827652,40.87816100918326
133226,413,478357,10.437902511521775,40.77101411707156
146467,414,499143,9.984501628353144,40.51103591555927
151810,415,526012,10.204861339832686,40.64146825547706
158547,416,550579,10.37862589642188,40.37277120994444
169536,417,573223,10.246201396753492,40.061546727887745
176239,418,596532,10.360930327566544,39.68471096269773
182710,419,617555,10.35684965245471,39.3140691922177
190394,420,633861,10.219859869533703,39.0483086985948
205399,421,649325,9.832569778820734,38.76179109074808
216783,422,669982,9.718935525387138,38.39147917406736
225078,423,695920,9.74950905908174,37.85779974709737
242547,424,730656,9.402713700849732,37.170706871633165
262816,425,777568,9.045491903080482,36.285315239310265
276021,426,805350,8.923596393028067,35.766436952877626
290517,427,826095,8.70757993508125,35.34654004684691
300384,428,844994,8.712514647917333,34.92403496356187
314790,429,872481,8.594300962546459,34.349286689337646
330300,430,900636,8.503481683318196,33.79522914917902
351775,501,927438,8.309004335157416,33.243623832536514
380648,502,959071,8.018431726949833,32.63335039845851
390560,503,985911,8.077632117984432,32.093667683999875
407398,504,1007310,7.9362196181620925,31.663837348978962
427210,505,1028899,7.810912665902016,31.21705823409295
438938,506,1055921,7.842109819610059,30.682030189758514
455162,507,1089916,7.775253645954628,30.061857978046014
477118,508,1121543,7.67294463843326,29.460038536195228
489294,509,1153768,7.737679186746618,28.872528965961962
501776,510,1182998,7.746285194987405,28.351273628526847
525697,511,1204651,7.584026540003082,27.97947289297896
538172,512,1225113,7.6273013088752295,27.628879948217023
556776,513,1258907,7.615809589493799,27.06006083054586
587313,514,1298757,7.466376531764153,26.41379411237052
609630,515,1338048,7.414005216278727,25.84458853494045
638739,516,1378717,7.358091489638177,25.257685224741554
650355,517,1413396,7.347371820005996,24.77161390013839
679845,518,1439557,7.16236789268142,24.4082728228198
700146,519,1467739,7.128798850525461,24.040037091063194
720928,520,1505836,7.119018820187314,23.53310719095572
740181,521,1555055,7.061516034591539,22.92253328660401
741362,522,1600793,7.209568335037404,22.373536116162427
762706,523,1652061,7.146790506433671,21.78648367100246
763545,524,1699826,7.248819650446274,21.267765053599604
805654,525,1739449,6.9472751329975395,20.855109865250434
821233,526,1774128,6.887204971061806,20.50787767286239
855674,527,1811544,6.769049895170356,20.146626303308118
873218,528,1876789,6.845484174627642,19.540449139461067
893275,529,1944130,6.829475805323108,18.943383415718085
928517,530,2005381,6.713716604004019,18.43340492405184
951865,531,2063825,6.753793867827895,17.965186001720106
970031,601,2113777,6.688446039353381,17.58515680698579
986224,602,2167831,6.749785038693035,17.20798346365561
1006768,603,2229473,6.781204805873846,16.779077387346696
1038555,604,2293032,6.732431118236396,16.35969319224503
1061576,605,2359512,6.745913622764645,15.944313908977788
1093277,606,2437407,6.727755180068728,15.480221399216463
1100446,607,2497842,6.813419286362075,15.136946211970173
1120316,608,2555896,6.749524241374755,14.820595204186713
1147355,609,2605869,6.733138392215138,14.562589293629111
1161087,610,2668166,6.869166565468393,14.247839152436542
1206320,611,2729005,6.762965050732807,13.95717486776316
1226957,612,2801400,6.8201249106529405,13.625829942171771
1260319,613,2872240,6.824542040546877,13.321658357240343
1295983,614,2934599,6.778946946063336,13.0622275820308
1314761,615,2991210,6.777505569453307,12.83574205756199
1348442,616,3051778,6.91212525269904,12.6016702394473
1369638,617,3111119,7.033610340834586,12.379532894755874
1407741,618,3179660,7.092995089295545,12.132114754407704
1423914,619,3258963,7.2550027599981455,11.861319076037377
1463398,620,3327793,7.361975347786453,11.637502693226413
1526180,621,3395319,7.312440210198011,11.425612733295457
1549009,622,3452099,7.4164191428196995,11.253674938059424
1597290,623,3500808,7.535888911844436,11.114148505145097
1630258,624,3551952,7.723992153389219,10.97047482623639
1659340,625,3619594,7.949968059589957,10.786154469258154
1697334,626,3681317,8.108245047822054,10.627175002859031
1722826,627,3754579,8.32185026230159,10.438533854261689
1775219,628,3816485,8.378008572463454,10.285354193714898
1819189,629,3862913,8.410945756598133,10.171857352210624
1869282,630,3914938,8.55868723927155,10.050069758448283
1921948,701,3971648,8.744357287502055,9.922304292827562
1975803,702,4041593,8.906606579704555,9.772235848587425
2013906,703,4107985,9.113235672370012,9.636646677142199
2071809,704,4170388,9.257127466865912,9.509858555127245
2133457,705,4233803,9.15129763571518,9.380006580372303
2163729,706,4288131,9.269044321169611,9.273247482411334
2221287,707,4344867,9.480314790479573,9.165689076328459
2258708,708,4402452,9.765051525031124,9.06151844472126
2313212,709,4468016,9.957842169243458,8.941619725623184
2389789,710,4541574,10.047372383084866,8.814102775821775
2429624,711,4610777,10.308673276194176,8.697644670301774
2492754,712,4673195,10.37639494310309,8.595960579432273
2540125,713,4724882,10.405511539786428,8.513715263153662
2598680,714,4784927,10.58452752936106,8.425938368547733
2642199,715,4848525,10.686742368761777,8.33255474603101
2699855,716,4921210,10.83969324278526,8.225111303927287
2767321,717,4999449,11.114431610933462,8.111913932915407
2842685,718,5069266,11.177108965643397,8.015065691956194
2932364,719,5115470,11.0842310163404,7.952485304380634
2984554,720,5164812,11.138481662586772,7.886560052911896
3043574,721,5230981,11.228213935327348,7.803144381522318
3104148,722,5298640,11.327359391369225,7.716810351335438
3164656,723,5368338,11.411192875307774,7.6317288516483135
3231931,724,5444845,11.442880432781518,7.53832294583225
3306042,725,5516311,11.368458113962255,7.4542570206792185
3369975,726,5569879,11.325187872313593,7.392189309678002
3428882,727,5627149,11.255067978425622,7.327760469822285
3476926,728,5684546,11.339470555312365,7.263165783160168
3539368,729,5746822,11.394887448832673,7.196899434156827
3609474,730,5820368,11.417369954735786,7.119309294532579
3669752,731,5889237,11.470693387455064,7.046990976929609
3747779,801,5971974,11.48640301362487,6.961969358875307
