latitude,longitude,county
32.05,-95.5,Anderson
31.87,-95.5,Anderson
31.75,-95.64,Anderson
31.75,-95.64,Anderson
31.75,-95.64,Anderson
31.95,-95.97,Anderson
31.62,-95.57,Anderson
31.93,-95.76,Anderson
31.88,-95.91,Anderson
31.88,-95.91,Anderson
31.75,-95.64,Anderson
31.88,-95.91,Anderson
31.88,-95.91,Anderson
32.32,-102.54,Andrews
31.33,-94.72,Angelina
31.33,-94.72,Angelina
31.33,-94.72,Angelina
31.33,-94.72,Angelina
31.33,-94.72,Angelina
31.18,-94.78,Angelina
31.27,-94.57,Angelina
31.42,-94.86,Angelina
31.15,-94.41,Angelina
28.07,-97.03,Aransas
28.04,-97.05,Aransas
28.04,-97.05,Aransas
33.59,-98.62,Archer
33.81,-98.68,Archer
33.45,-98.92,Archer
33.64,-98.45,Archer
33.57,-98.43,Archer
35.1,-101.36,Armstrong
34.79,-101.54,Armstrong
28.75,-98.3,Atascosa
28.85,-98.7,Atascosa
28.78,-98.49,Atascosa
28.91,-98.54,Atascosa
29.06,-98.48,Atascosa
29.23,-98.79,Atascosa
28.79,-98.24,Atascosa
28.96,-98.49,Atascosa
29.03,-98.57,Atascosa
29.22,-98.65,Atascosa
29.94,-96.25,Austin
30.04,-96.29,Austin
29.77,-96.15,Austin
29.63,-96.06,Austin
30.02,-96.44,Austin
29.99,-96.49,Austin
29.87,-96.49,Austin
33.86,-102.67,Bailey
33.87,-102.75,Bailey
33.84,-102.89,Bailey
34.22,-102.72,Bailey
29.72,-99.07,Bandera
29.8,-99.25,Bandera
29.71,-98.93,Bandera
29.63,-99.28,Bandera
29.73,-99.55,Bandera
30.11,-97.3,Bastrop
30.08,-97.5,Bastrop
30.34,-97.37,Bastrop
30.3,-97.22,Bastrop
30.21,-97.11,Bastrop
29.99,-97.39,Bastrop
29.93,-97.3,Bastrop
30,-97.15,Bastrop
33.59,-99.25,Baylor
28.4,-97.74,Bee
28.4,-97.74,Bee
28.55,-97.97,Bee
28.53,-97.79,Bee
28.57,-97.8,Bee
28.56,-97.8,Bee
28.23,-97.68,Bee
28.15,-97.73,Bee
31.09,-97.36,Bell
31.09,-97.36,Bell
31.09,-97.36,Bell
31.09,-97.36,Bell
31.09,-97.36,Bell
31.09,-97.36,Bell
30.79,-97.42,Bell
31.06,-97.46,Bell
31.01,-97.32,Bell
30.88,-97.4,Bell
31.09,-97.71,Bell
31.09,-97.71,Bell
31.09,-97.71,Bell
31.09,-97.71,Bell
31.11,-97.72,Bell
31.11,-97.72,Bell
31.09,-97.71,Bell
31.06,-97.65,Bell
31.09,-97.71,Bell
30.97,-97.37,Bell
31.07,-97.61,Bell
31.12,-97.23,Bell
30.93,-97.22,Bell
30.95,-97.52,Bell
31.19,-97.3,Bell
29.28,-98.73,Bexar
29.8,-98.73,Bexar
29.56,-98.69,Bexar
29.41,-98.63,Bexar
29.25,-98.62,Bexar
29.37,-98.25,Bexar
29.51,-98.31,Bexar
29.25,-98.33,Bexar
29.55,-98.3,Bexar
29.55,-98.3,Bexar
29.42,-98.21,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.42,-98.49,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.53,-98.42,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.42,-98.49,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
29.45,-98.5,Bexar
30.09,-98.42,Blanco
30.22,-98.53,Blanco
30.27,-98.4,Blanco
30.43,-98.35,Blanco
32.77,-101.45,Borden
31.78,-97.58,Bosque
31.77,-97.82,Bosque
31.78,-97.58,Bosque
31.98,-97.87,Bosque
32.11,-97.58,Bosque
31.92,-97.64,Bosque
32.01,-97.6,Bosque
31.65,-97.47,Bosque
32.05,-97.75,Bosque
33.44,-94.07,Bowie
33.44,-94.07,Bowie
33.44,-94.07,Bowie
33.44,-94.07,Bowie
33.44,-94.07,Bowie
33.5,-94.61,Bowie
33.46,-94.28,Bowie
33.33,-94.34,Bowie
33.44,-94.12,Bowie
33.46,-94.41,Bowie
33.35,-94.25,Bowie
33.35,-94.5,Bowie
33.44,-94.07,Bowie
29.04,-95.56,Brazoria
29.27,-95.72,Brazoria
29.19,-95.72,Brazoria
29.33,-95.76,Brazoria
29.19,-95.72,Brazoria
29.04,-95.69,Brazoria
29.14,-95.64,Brazoria
29.43,-95.24,Brazoria
29.43,-95.24,Brazoria
29.16,-95.42,Brazoria
29.16,-95.42,Brazoria
29.02,-95.39,Brazoria
29.22,-95.34,Brazoria
28.95,-95.36,Brazoria
28.95,-95.36,Brazoria
29.04,-95.44,Brazoria
29.29,-95.27,Brazoria
29.48,-95.35,Brazoria
29.55,-95.27,Brazoria
29.37,-95.45,Brazoria
29.55,-95.27,Brazoria
29.55,-95.27,Brazoria
30.66,-96.36,Brazos
30.66,-96.36,Brazos
30.66,-96.36,Brazos
30.66,-96.36,Brazos
30.66,-96.36,Brazos
30.66,-96.36,Brazos
30.66,-96.36,Brazos
30.6,-96.31,Brazos
30.6,-96.31,Brazos
30.6,-96.31,Brazos
30.6,-96.31,Brazos
30.6,-96.31,Brazos
30.6,-96.31,Brazos
30.75,-96.33,Brazos
30.46,-96.2,Brazos
30.53,-96.3,Brazos
30.36,-103.66,Brewster
30.36,-103.66,Brewster
30.36,-103.66,Brewster
29.28,-103.18,Brewster
30.2,-103.24,Brewster
29.32,-103.62,Brewster
34.36,-101.05,Briscoe
34.47,-101.3,Briscoe
26.93,-98.13,Brooks
27.22,-98.14,Brooks
31.82,-98.78,Brown
