county,20200701,20200601,20190701,Monthly Change,Annual Change
  Anderson,6.1,6.3,3.2,-0.2,2.9
  Andrews,9,9.7,2.5,-0.7,6.5
  Angelina,8.2,8.6,4.4,-0.4,3.8
  Aransas,8.8,8.9,4.6,-0.1,4.2
  Archer,5.5,5.9,3.1,-0.4,2.4
  Armstrong,4,4.4,2.8,-0.4,1.2
  Atascosa,9.4,9.6,3.9,-0.2,5.5
  Austin,7,7.1,3.8,-0.1,3.2
  Bailey,5.3,5.5,4.4,-0.2,0.9
  Bandera,5.9,6.4,3.5,-0.5,2.4
  Bastrop,6.4,7,3.5,-0.6,2.9
  Baylor,3.6,4,2.4,-0.4,1.2
  Bee,11.1,11.5,4.8,-0.4,6.3
  Bell,7.3,7.9,4.2,-0.6,3.1
  Bexar,8.3,8.6,3.5,-0.3,4.8
  Blanco,4,4.2,2.8,-0.2,1.2
  Borden,3.5,3.8,2.5,-0.3,1
  Bosque,5.8,6.1,3.7,-0.3,2.1
  Bowie,7.3,7.9,4.9,-0.6,2.4
  Brazoria,9.1,9.3,4.6,-0.2,4.5
  Brazos,5.7,6.3,3.2,-0.6,2.5
  Brewster,7.3,7.6,3.4,-0.3,3.9
  Briscoe,4.4,4.7,3.7,-0.3,0.7
  Brooks,11.8,11.8,6.7,0,5.1
  Brown,6.8,7.2,4.2,-0.4,2.6
  Burleson,6.3,6.7,3.4,-0.4,2.9
  Burnet,4.9,5.2,3,-0.3,1.9
  Caldwell,6.8,7.2,3.8,-0.4,3
  Calhoun,6.2,6.2,3.6,0,2.6
  Callahan,5.6,6.2,3.5,-0.6,2.1
  Cameron,11,10.9,5.9,0.1,5.1
  Camp,8.1,8.5,4.7,-0.4,3.4
  Carson,4.3,5,2.8,-0.7,1.5
  Cass,8,8.5,4.6,-0.5,3.4
  Castro,3.7,4,3.1,-0.3,0.6
  Chambers,10.4,10.4,5.1,0,5.3
  Cherokee,8.4,9,4,-0.6,4.4
  Childress,3.9,4.4,2.8,-0.5,1.1
  Clay,5.8,6,3.6,-0.2,2.2
  Cochran,8.1,8.7,4.3,-0.6,3.8
  Coke,6,6.3,3.6,-0.3,2.4
  Coleman,8.1,8.3,4.4,-0.2,3.7
  Collin,6.6,7.4,3.4,-0.8,3.2
  Collingsworth,4.1,4.5,3.4,-0.4,0.7
  Colorado,6.1,6.1,3.3,0,2.8
  Comal,6.6,7.2,3.3,-0.6,3.3
  Comanche,5.8,6.2,3.5,-0.4,2.3
  Concho,5,4.9,3.7,0.1,1.3
  Cooke,7.1,7.4,3,-0.3,4.1
  Coryell,6.8,7.3,4.3,-0.5,2.5
  Cottle,5.5,5.3,3.9,0.2,1.6
  Crane,16.3,17.4,4.5,-1.1,11.8
  Crockett,9.5,9.7,2.9,-0.2,6.6
  Crosby,5.2,5.1,4.9,0.1,0.3
  Culberson,9.5,8.8,4.9,0.7,4.6
  Dallam,2.8,3.1,2.2,-0.3,0.6
  Dallas,8.1,8.8,3.7,-0.7,4.4
  Dawson,9.3,9.7,4.2,-0.4,5.1
  Deaf Smith,3.8,3.9,3.2,-0.1,0.6
  Delta,5.8,6.1,3.6,-0.3,2.2
  Denton,6.9,7.7,3.2,-0.8,3.7
  DeWitt,6.7,6.5,2.8,0.2,3.9
  Dickens,7.1,7.3,4.3,-0.2,2.8
  Dimmit,6.6,6.9,2.8,-0.3,3.8
  Donley,5.5,5.8,4.1,-0.3,1.4
  Duval,13.6,13.4,4.9,0.2,8.7
  Eastland,6.9,7.6,3.7,-0.7,3.2
  Ector,12.6,12.7,2.9,-0.1,9.7
  Edwards,4.2,4.1,2.3,0.1,1.9
  Ellis,6.3,6.9,3.5,-0.6,2.8
  El Paso,8.7,9.5,4.1,-0.8,4.6
  Erath,6.1,6.5,3.8,-0.4,2.3
  Falls,6.2,6.6,3.6,-0.4,2.6
  Fannin,4.8,5.1,3,-0.3,1.8
  Fayette,4.9,5,3,-0.1,1.9
  Fisher,5.2,5.2,3.6,0,1.6
  Floyd,6.3,6.4,4.7,-0.1,1.6
  Foard,3.4,4.7,3.2,-1.3,0.2
  Fort Bend,8.4,8.8,3.8,-0.4,4.6
  Franklin,5.7,6.2,4,-0.5,1.7
  Freestone,9.3,9.6,5.2,-0.3,4.1
  Frio,6.1,6.1,3.1,0,3
  Gaines,6.1,6.4,2.7,-0.3,3.4
  Galveston,9.3,9.5,4.4,-0.2,4.9
  Garza,7.6,7.9,2.8,-0.3,4.8
  Gillespie,4.7,5.4,2.6,-0.7,2.1
  Glasscock,3.8,4.4,2.4,-0.6,1.4
  Goliad,8.7,8.4,3.6,0.3,5.1
  Gonzales,6,6.1,3,-0.1,3
  Gray,8.8,9.4,3.8,-0.6,5
  Grayson,5.9,6.6,3.3,-0.7,2.6
  Gregg,8.9,9.3,4.1,-0.4,4.8
  Grimes,8.4,8.8,4.6,-0.4,3.8
  Guadalupe,6.5,6.9,3.3,-0.4,3.2
  Hale,7.6,8,5.4,-0.4,2.2
  Hall,6.2,6.6,4.1,-0.4,2.1
  Hamilton,4.9,5.1,3.3,-0.2,1.6
  Hansford,3.6,3.9,2.5,-0.3,1.1
  Hardeman,4.1,5.1,3.3,-1,0.8
  Hardin,9.7,10.2,5.2,-0.5,4.5
  Harris,9.8,10,4.1,-0.2,5.7
  Harrison,8.6,9,4.3,-0.4,4.3
  Hartley,2.2,2.3,1.8,-0.1,0.4
  Haskell,5.6,5.8,3.5,-0.2,2.1
  Hays,7,7.7,3,-0.7,4
  Hemphill,4.7,5.1,3,-0.4,1.7
  Henderson,6.9,7.4,3.9,-0.5,3
  Hidalgo,12.5,12.4,6.9,0.1,5.6
  Hill,6.7,7.1,3.7,-0.4,3
  Hockley,8.7,9.3,3.3,-0.6,5.4
  Hood,7.2,7.5,3.7,-0.3,3.5
  Hopkins,5.4,5.7,3.3,-0.3,2.1
  Houston,5.4,5.7,3.5,-0.3,1.9
  Howard,9,9.1,3.5,-0.1,5.5
  Hudspeth,9.1,9.2,4.9,-0.1,4.2
  Hunt,6.9,7.4,3.9,-0.5,3
  Hutchinson,7.4,8.3,5,-0.9,2.4
  Irion,7,7.4,2.9,-0.4,4.1
  Jack,7.8,8.1,3.2,-0.3,4.6
  Jackson,6.6,6.2,3.4,0.4,3.2
  Jasper,11.8,12,6.7,-0.2,5.1
  Jeff Davis,5.1,5.5,3.1,-0.4,2
  Jefferson,12.7,13.3,6.6,-0.6,6.1
  Jim Hogg,11.4,11,5,0.4,6.4
