Industry,20-Jul,20-Jun,19-Jul,Monthly Change,Monthly % Change,Annual Change,"Annual
% Change",
   TOTAL NONFARM,"12,087,800","12,145,700","12,765,800","-57,900",-0.50%,"-678,000",-5.30%,
  TOTAL PRIVATE,"10,231,200","10,254,600","10,865,900","-23,400",-0.20%,"-634,700",-5.80%,
  GOODS PRODUCING,"1,807,600","1,815,800","1,942,200","-8,200",-0.50%,"-134,600",-6.90%,
"  Mining and Logging (NAICS 21, 1133)","191,500","192,700","250,700","-1,200",-0.60%,"-59,200",-23.60%,
  Oil and Gas Extraction (NAICS 211),"70,500","69,300","77,800","1,200",1.70%,"-7,300",-9.40%,
  Support Activities for Mining (NAICS 213),"101,500","105,000","158,200","-3,500",-3.30%,"-56,700",-35.80%,
  Construction (NAICS 23),"742,900","747,500","779,600","-4,600",-0.60%,"-36,700",-4.70%,
  Construction of Buildings (NAICS 236),"155,400","154,600","165,400",800,0.50%,"-10,000",-6.00%,
  Heavy and Civil Engineering Construction (NAICS 237),"170,600","173,300","177,000","-2,700",-1.60%,"-6,400",-3.60%,
  Specialty Trade Contractors (NAICS 238),"416,900","419,600","437,200","-2,700",-0.60%,"-20,300",-4.60%,
  Manufacturing (NAICS 31-33),"873,200","875,600","911,900","-2,400",-0.30%,"-38,700",-4.20%,
  Durable Goods,"553,500","560,100","587,000","-6,600",-1.20%,"-33,500",-5.70%,
  Wood Product Manufacturing (NAICS 321),"24,400","24,000","25,000",400,1.70%,-600,-2.40%,
  Nonmetallic Mineral Product Manufacturing (NAICS 327),"38,300","38,800","38,300",-500,-1.30%,0,0.00%,
  Primary Metal Manufacturing (NAICS 331),"19,100","19,000","20,900",100,0.50%,"-1,800",-8.60%,
  Fabricated Metal Product Manufacturing (NAICS 332),"117,100","122,700","133,200","-5,600",-4.60%,"-16,100",-12.10%,
  Machinery Manufacturing (NAICS 333),"92,600","93,400","99,400",-800,-0.90%,"-6,800",-6.80%,
  Computer and Electronic Product Manufacturing (NAICS 334),"92,900","93,400","94,500",-500,-0.50%,"-1,600",-1.70%,
"  Electric Equipment, Appliance, and Component Mfg (NAICS 335)","19,900","19,800","20,000",100,0.50%,-100,-0.50%,
  Transportation Equipment Manufacturing (NAICS 336),"92,500","91,600","99,400",900,1.00%,"-6,900",-6.90%,
