date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200924,NY,452847,9775798,,10228645,500.0,89995.0,145.0,,72.0,,76382.0,A,9/23/2020 23:59,2020-09-23T23:59:00Z,09/23 19:59,25439.0,89995.0,2020-09-23T23:59:00Z,,,,452847.0,,,10228645.0,,,,,,,,,,,,36,955,91998,10228645,posNeg,92953,10228645,2,0,63ceae8617c69dd2e696b201ec2dd6059b8d0350,0,0,0,0,0,
20200923,NY,451892,9683800,,10135692,490.0,89995.0,141.0,,68.0,,76306.0,A,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,25437.0,89995.0,2020-09-22T23:59:00Z,,,,451892.0,,,10135692.0,,,,,,,,,,,,36,665,70265,10135692,posNeg,70930,10135692,5,0,73a23ab7c0b6b78e67d67b6925fc08a799485733,0,0,0,0,0,
20200922,NY,451227,9613535,,10064762,470.0,89995.0,133.0,,67.0,,76246.0,A,9/21/2020 23:59,2020-09-21T23:59:00Z,09/21 19:59,25432.0,89995.0,2020-09-21T23:59:00Z,,,,451227.0,,,10064762.0,,,,,,,,,,,,36,754,83243,10064762,posNeg,83997,10064762,4,0,acfffc57985c0dd288e364f084a74119a9415495,0,0,0,0,0,
20200921,NY,450473,9530292,,9980765,468.0,89995.0,134.0,,66.0,,76218.0,A,9/20/2020 23:59,2020-09-20T23:59:00Z,09/20 19:59,25428.0,89995.0,2020-09-20T23:59:00Z,,,,450473.0,,,9980765.0,,,,,,,,,,,,36,573,57746,9980765,posNeg,58319,9980765,1,0,6e223bb0204780c57bf975ab107522993c6290f8,0,0,0,0,0,
20200920,NY,449900,9472546,,9922446,468.0,89995.0,132.0,,60.0,,76179.0,A,9/19/2020 23:59,2020-09-19T23:59:00Z,09/19 19:59,25427.0,89995.0,2020-09-19T23:59:00Z,,,,449900.0,,,9922446.0,,,,,,,,,,,,36,862,99493,9922446,posNeg,100355,9922446,2,0,b9792dc99d6549db085101b4cec82e1ef562405f,0,0,0,0,0,
20200919,NY,449038,9373053,,9822091,467.0,89995.0,144.0,,60.0,,76101.0,A,9/18/2020 23:59,2020-09-18T23:59:00Z,09/18 19:59,25425.0,89995.0,2020-09-18T23:59:00Z,,,,449038.0,,,9822091.0,,,,,,,,,,,,36,986,109458,9822091,posNeg,110444,9822091,2,0,6428fa42a0444dfe549a7a14c8e0e10ffbb91404,0,0,0,0,0,
20200918,NY,448052,9263595,,9711647,478.0,89995.0,141.0,,62.0,,76036.0,A,9/17/2020 23:59,2020-09-17T23:59:00Z,09/17 19:59,25423.0,89995.0,2020-09-17T23:59:00Z,,,,448052.0,,,9711647.0,,,,,,,,,,,,36,790,88937,9711647,posNeg,89727,9711647,10,0,484099c5cadb392fbd9a1cdd91d0dfbb3d880cf9,0,0,0,0,0,
20200917,NY,447262,9174658,,9621920,486.0,89995.0,135.0,,68.0,,75962.0,A,9/16/2020 23:59,2020-09-16T23:59:00Z,09/16 19:59,25413.0,89995.0,2020-09-16T23:59:00Z,,,,447262.0,,,9621920.0,,,,,,,,,,,,36,896,90608,9621920,posNeg,91504,9621920,3,0,5e44bc2c7424a256603012991c84a330c2f41244,0,0,0,0,0,
20200916,NY,446366,9084050,,9530416,483.0,89995.0,138.0,,67.0,,75903.0,A,9/15/2020 23:59,2020-09-15T23:59:00Z,09/15 19:59,25410.0,89995.0,2020-09-15T23:59:00Z,,,,446366.0,,,9530416.0,,,,,,,,,,,,36,652,74435,9530416,posNeg,75087,9530416,5,0,247d677a0fea26706b310e8053dd5198afd55927,0,0,0,0,0,
20200915,NY,445714,9009615,,9455329,481.0,89995.0,144.0,,60.0,,75847.0,A,9/14/2020 23:59,2020-09-14T23:59:00Z,09/14 19:59,25405.0,89995.0,2020-09-14T23:59:00Z,,,,445714.0,,,9455329.0,,,,,,,,,,,,36,766,72912,9455329,posNeg,73678,9455329,11,0,dff1d805592ccd3c7f86828c445b52061d34bd97,0,0,0,0,0,
20200914,NY,444948,8936703,,9381651,464.0,89995.0,143.0,,59.0,,75814.0,A,9/13/2020 23:59,2020-09-13T23:59:00Z,09/13 19:59,25394.0,89995.0,2020-09-13T23:59:00Z,,,,444948.0,,,9381651.0,,,,,,,,,,,,36,583,62775,9381651,posNeg,63358,9381651,4,0,6a2fb762bc87056f5df959d1f8988e03ed4f2e95,0,0,0,0,0,
20200913,NY,444365,8873928,,9318293,464.0,89995.0,131.0,,54.0,,75767.0,A,9/12/2020 23:59,2020-09-12T23:59:00Z,09/12 19:59,25390.0,89995.0,2020-09-12T23:59:00Z,,,,444365.0,,,9318293.0,,,,,,,,,,,,36,725,71943,9318293,posNeg,72668,9318293,6,0,610a4052d28f86b5f307476f7ee7dfe297d0d413,0,0,0,0,0,
20200912,NY,443640,8801985,,9245625,467.0,89995.0,127.0,,51.0,,75707.0,A,9/11/2020 23:59,2020-09-11T23:59:00Z,09/11 19:59,25384.0,89995.0,2020-09-11T23:59:00Z,,,,443640.0,,,9245625.0,,,,,,,,,,,,36,849,102076,9245625,posNeg,102925,9245625,2,0,0cf0f61afa5b762948ea7155234f87dd4687c02d,0,0,0,0,0,
20200911,NY,442791,8699909,,9142700,474.0,89995.0,120.0,,54.0,,75649.0,A,9/10/2020 23:59,2020-09-10T23:59:00Z,09/10 19:59,25382.0,89995.0,2020-09-10T23:59:00Z,,,,442791.0,,,9142700.0,,,,,,,,,,,,36,880,88842,9142700,posNeg,89722,9142700,5,0,63317d552d6e6d7a3c8b5ad3d31be983619285c7,0,0,0,0,0,
20200910,NY,441911,8611067,,9052978,482.0,89995.0,120.0,,55.0,,75584.0,A,9/9/2020 23:59,2020-09-09T23:59:00Z,09/09 19:59,25377.0,89995.0,2020-09-09T23:59:00Z,,,,441911.0,,,9052978.0,,,,,,,,,,,,36,757,76056,9052978,posNeg,76813,9052978,7,0,50388c162469103edd8aa989376183428edf4d5a,0,0,0,0,0,
20200909,NY,441154,8535011,,8976165,463.0,89995.0,121.0,,59.0,,75539.0,A,9/8/2020 23:59,2020-09-08T23:59:00Z,09/08 19:59,25370.0,89995.0,2020-09-08T23:59:00Z,,,,441154.0,,,8976165.0,,,,,,,,,,,,36,576,62654,8976165,posNeg,63230,8976165,3,0,55a83ddf98544f94f43247f3f2b867ddc267d31b,0,0,0,0,0,
20200908,NY,440578,8472357,,8912935,445.0,89995.0,114.0,,52.0,,75503.0,A,9/7/2020 23:59,2020-09-07T23:59:00Z,09/07 19:59,25367.0,89995.0,2020-09-07T23:59:00Z,,,,440578.0,,,8912935.0,,,,,,,,,,,,36,557,57269,8912935,posNeg,57826,8912935,6,0,ddf12ebad36c51d7af4583850933a3651b9c84de,0,0,0,0,0,
20200907,NY,440021,8415088,,8855109,413.0,89995.0,115.0,,57.0,,75471.0,A,9/6/2020 23:59,2020-09-06T23:59:00Z,09/06 19:59,25361.0,89995.0,2020-09-06T23:59:00Z,,,,440021.0,,,8855109.0,,,,,,,,,,,,36,520,58345,8855109,posNeg,58865,8855109,2,0,7e62930bca20ae62a1151493d16c77b25b554aca,0,0,0,0,0,
20200906,NY,439501,8356743,,8796244,410.0,89995.0,119.0,,56.0,,75425.0,A,9/5/2020 23:59,2020-09-05T23:59:00Z,09/05 19:59,25359.0,89995.0,2020-09-05T23:59:00Z,,,,439501.0,,,8796244.0,,,,,,,,,,,,36,729,84901,8796244,posNeg,85630,8796244,9,0,3bf75f818e8b5651e2001768273bbdbdd9cb4b80,0,0,0,0,0,
20200905,NY,438772,8271842,,8710614,425.0,89995.0,115.0,,61.0,,75366.0,A,9/4/2020 23:59,2020-09-04T23:59:00Z,09/04 19:59,25350.0,89995.0,2020-09-04T23:59:00Z,,,,438772.0,,,8710614.0,,,,,,,,,,,,36,801,98960,8710614,posNeg,99761,8710614,2,0,3203352b567beff063498834de2f7f01c331486a,0,0,0,0,0,
20200904,NY,437971,8172882,,8610853,428.0,89995.0,116.0,,61.0,,75307.0,A,9/3/2020 23:59,2020-09-03T23:59:00Z,09/03 19:59,25348.0,89995.0,2020-09-03T23:59:00Z,,,,437971.0,,,8610853.0,,,,,,,,,,,,36,864,92531,8610853,posNeg,93395,8610853,5,0,18762f2912fe18101bc38d267a7f6db302529703,0,0,0,0,0,
